node1,node2,tstart,tend,line
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),450,453,Hammersmith & City line to Edgware Road (Circle Line)
Loughton,Debden,456,458,Central line to Debden
Debden,Theydon Bois,458,461,Central line to Theydon Bois
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),501,504,Hammersmith & City line to Edgware Road (Circle Line)
Theydon Bois,Epping,502,504,Central line to Epping
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),505,508,Hammersmith & City line to Edgware Road (Circle Line)
Wembley Park,Neasden,505,508,Jubilee line to Neasden
Neasden,Dollis Hill,507,508,Jubilee line to Dollis Hill
Finchley Road,Baker Street,507,515,Metropolitan line to Baker Street
Moorgate,Liverpool Street,508,510,Hammersmith & City line to Liverpool Street
Dollis Hill,Willesden Green,509,511,Jubilee line to Willesden Green
Cockfosters,Oakwood,509,511,Piccadilly line to Oakwood
West Ham,Bromley-by-Bow,510,512,Hammersmith & City line to Bromley-by-Bow
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),510,513,Hammersmith & City line to Edgware Road (Circle Line)
Epping,Theydon Bois,510,512,Central line to Theydon Bois
Willesden Green,Kilburn,511,512,Jubilee line to Kilburn
Loughton,Debden,511,513,Central line to Debden
Oakwood,Southgate,512,514,Piccadilly line to Southgate
Neasden,Dollis Hill,512,513,Jubilee line to Dollis Hill
Heathrow Terminals 2 & 3,Hatton Cross,512,515,Piccadilly line to Hatton Cross
Debden,Theydon Bois,513,516,Central line to Theydon Bois
Kilburn,West Hampstead,513,514,Jubilee line to West Hampstead
Dollis Hill,Willesden Green,513,515,Jubilee line to Willesden Green
Golders Green,Brent Cross,513,515,Northern line to Brent Cross
Southgate,Arnos Grove,514,519,Piccadilly line to Arnos Grove
Hillingdon,Ickenham,514,516,Metropolitan line to Ickenham
White City,East Acton,514,516,Central line to East Acton
Morden,South Wimbledon,515,517,Northern line to South Wimbledon
Brent Cross,Hendon Central,515,516,Northern line to Hendon Central
Stratford,West Ham,515,517,Jubilee line to West Ham
West Hampstead,Finchley Road,515,516,Jubilee line to Finchley Road
Hatton Cross,Hounslow West,515,518,Piccadilly line to Hounslow West
Finchley Road,Swiss Cottage,516,517,Jubilee line to Swiss Cottage
Chesham,Chalfont & Latimer,516,525,Metropolitan line to Chalfont & Latimer
South Harrow,Sudbury Hill,516,518,Piccadilly line to Sudbury Hill
Willesden Green,Kilburn,516,517,Jubilee line to Kilburn
Ickenham,Ruislip,516,518,Metropolitan line to Ruislip
Debden,Loughton,516,519,Central line to Loughton
East Acton,North Acton,516,518,Central line to North Acton
Loughton,Debden,516,518,Central line to Debden
Finchley Central,West Finchley,516,518,Northern line to West Finchley
Hendon Central,Colindale,517,519,Northern line to Colindale
Finchley Road,Baker Street,517,525,Metropolitan line to Baker Street
Theydon Bois,Epping,517,519,Central line to Epping
Kilburn,West Hampstead,517,518,Jubilee line to West Hampstead
West Ham,Canning Town,517,519,Jubilee line to Canning Town
Morden,South Wimbledon,518,520,Northern line to South Wimbledon
Uxbridge,Hillingdon,518,520,Piccadilly line to Hillingdon
Swiss Cottage,St. John's Wood,518,519,Jubilee line to St. John's Wood
Stepney Green,Whitechapel,518,520,Hammersmith & City line to Whitechapel
North Acton,West Acton,518,520,Central line to West Acton
Boston Manor,Northfields,518,521,Piccadilly line to Northfields
Sudbury Hill,Sudbury Town,519,521,Piccadilly line to Sudbury Town
Colliers Wood,Tooting Broadway,519,521,Northern line to Tooting Broadway
Ruislip,Ruislip Manor,519,520,Metropolitan line to Ruislip Manor
West Hampstead,Finchley Road,519,520,Jubilee line to Finchley Road
St. John's Wood,Baker Street,519,521,Jubilee line to Baker Street
Loughton,Buckhurst Hill,519,521,Central line to Buckhurst Hill
Debden,Theydon Bois,519,522,Central line to Theydon Bois
Arnos Grove,Bounds Green,519,521,Piccadilly line to Bounds Green
Colindale,Burnt Oak,519,521,Northern line to Burnt Oak
Canning Town,North Greenwich,520,522,Jubilee line to North Greenwich
Stratford,West Ham,520,522,Jubilee line to West Ham
Northfields,South Ealing,520,521,Piccadilly line to South Ealing
Fairlop,Barkingside,520,521,Central line to Barkingside
Cockfosters,Oakwood,520,522,Piccadilly line to Oakwood
Morden,South Wimbledon,520,522,Northern line to South Wimbledon
Rickmansworth,Chorleywood,520,523,Metropolitan line to Chorleywood
Ruislip Manor,Eastcote,520,522,Metropolitan line to Eastcote
Baker Street,Finchley Road,520,525,Metropolitan line to Finchley Road
Burnt Oak,Edgware,521,523,Northern line to Edgware
Sudbury Town,Alperton,521,523,Piccadilly line to Alperton
West Acton,Ealing Broadway,521,523,Central line to Ealing Broadway
Bounds Green,Wood Green,521,523,Piccadilly line to Wood Green
Hounslow Central,Hounslow East,521,522,Piccadilly line to Hounslow East
Hillingdon,Ickenham,521,523,Piccadilly line to Ickenham
Finchley Road,Swiss Cottage,521,522,Jubilee line to Swiss Cottage
South Ealing,Acton Town,521,525,Piccadilly line to Acton Town
Moorgate,Barbican,521,522,Hammersmith & City line to Barbican
Tooting Broadway,Tooting Bec,521,523,Northern line to Tooting Bec
Whitechapel,Aldgate East,521,523,Hammersmith & City line to Aldgate East
Seven Sisters,Finsbury Park,521,524,Victoria line to Finsbury Park
Loughton,Debden,522,524,Central line to Debden
Colliers Wood,Tooting Broadway,522,524,Northern line to Tooting Broadway
Edgware,Burnt Oak,522,524,Northern line to Burnt Oak
High Barnet,Totteridge & Whetstone,522,525,Northern line to Totteridge & Whetstone
Barkingside,Newbury Park,522,524,Central line to Newbury Park
Eastcote,Rayners Lane,522,525,Metropolitan line to Rayners Lane
Hounslow East,Osterley,522,524,Piccadilly line to Osterley
Wembley Park,Neasden,522,525,Jubilee line to Neasden
Swiss Cottage,St. John's Wood,522,523,Jubilee line to St. John's Wood
West Ham,Canning Town,522,524,Jubilee line to Canning Town
Baker Street,Bond Street,522,524,Jubilee line to Bond Street
Theydon Bois,Epping,522,524,Central line to Epping
Woodford,Buckhurst Hill,522,524,Central line to Buckhurst Hill
Buckhurst Hill,Woodford,522,524,Central line to Woodford
Aldgate East,Liverpool Street,523,526,Hammersmith & City line to Liverpool Street
Stanmore,Canons Park,523,525,Jubilee line to Canons Park
Oakwood,Southgate,523,525,Piccadilly line to Southgate
Ickenham,Ruislip,523,525,Piccadilly line to Ruislip
Tooting Bec,Balham,523,524,Northern line to Balham
Chorleywood,Chalfont & Latimer,523,527,Metropolitan line to Chalfont & Latimer
North Greenwich,Canary Wharf,523,525,Jubilee line to Canary Wharf
Woodford,South Woodford,524,526,Central line to South Woodford
Buckhurst Hill,Loughton,524,527,Central line to Loughton
Tooting Broadway,Tooting Bec,524,526,Northern line to Tooting Bec
Moorgate,Liverpool Street,524,526,Hammersmith & City line to Liverpool Street
St. John's Wood,Baker Street,524,526,Jubilee line to Baker Street
Chalfont & Latimer,Chorleywood,524,527,Metropolitan line to Chorleywood
Osterley,Boston Manor,524,527,Piccadilly line to Boston Manor
Stratford,West Ham,524,526,Jubilee line to West Ham
Bond Street,Green Park,524,525,Jubilee line to Green Park
Newbury Park,Gants Hill,524,527,Central line to Gants Hill
Finsbury Park,Highbury & Islington,524,526,Victoria line to Highbury & Islington
Arnos Grove,Bounds Green,525,527,Piccadilly line to Bounds Green
Burnt Oak,Colindale,525,527,Northern line to Colindale
Westbourne Park,Ladbroke Grove,525,527,Hammersmith & City line to Ladbroke Grove
Mill Hill East,Finchley Central,525,527,Northern line to Finchley Central
Morden,South Wimbledon,525,527,Northern line to South Wimbledon
Canons Park,Queensbury,525,527,Jubilee line to Queensbury
Colliers Wood,Tooting Broadway,525,527,Northern line to Tooting Broadway
Neasden,Dollis Hill,525,526,Jubilee line to Dollis Hill
Canary Wharf,Canada Water,525,527,Jubilee line to Canada Water
Canning Town,North Greenwich,525,527,Jubilee line to North Greenwich
Rayners Lane,West Harrow,525,527,Metropolitan line to West Harrow
Walthamstow Central,Blackhorse Road,525,527,Victoria line to Blackhorse Road
Totteridge & Whetstone,Woodside Park,525,527,Northern line to Woodside Park
Epping,Theydon Bois,525,527,Central line to Theydon Bois
Walthamstow Central,Blackhorse Road,525,527,Victoria line to Blackhorse Road
Southgate,Arnos Grove,525,530,Piccadilly line to Arnos Grove
Ruislip,Ruislip Manor,525,526,Piccadilly line to Ruislip Manor
Balham,Clapham South,525,527,Northern line to Clapham South
Debden,Theydon Bois,525,528,Central line to Theydon Bois
Brixton,Stockwell,526,528,Victoria line to Stockwell
Park Royal,North Ealing,526,528,Piccadilly line to North Ealing
Acton Town,Hammersmith (Dist&Picc Line),526,532,Piccadilly line to Hammersmith (Dist&Picc Line)
Amersham,Chalfont & Latimer,526,529,Metropolitan line to Chalfont & Latimer
Tooting Bec,Balham,526,527,Northern line to Balham
Green Park,Westminster,526,528,Jubilee line to Westminster
West Ham,Canning Town,526,528,Jubilee line to Canning Town
Dollis Hill,Willesden Green,526,528,Jubilee line to Willesden Green
Seven Sisters,Finsbury Park,526,529,Victoria line to Finsbury Park
Brixton,Stockwell,526,528,Victoria line to Stockwell
White City,East Acton,526,528,Central line to East Acton
Ruislip Gardens,South Ruislip,526,527,Central line to South Ruislip
Grange Hill,Chigwell,526,528,Central line to Chigwell
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Finchley Road,Baker Street,527,535,Metropolitan line to Baker Street
Canada Water,Bermondsey,527,528,Jubilee line to Bermondsey
North Greenwich,Canary Wharf,527,529,Jubilee line to Canary Wharf
Bounds Green,Wood Green,527,529,Piccadilly line to Wood Green
West Harrow,Harrow-on-the-Hill,527,530,Metropolitan line to Harrow-on-the-Hill
Highbury & Islington,King's Cross St. Pancras,527,529,Victoria line to King's Cross St. Pancras
Heathrow Terminals 2 & 3,Hatton Cross,527,530,Piccadilly line to Hatton Cross
Ruislip Manor,Eastcote,527,529,Piccadilly line to Eastcote
Colindale,Hendon Central,527,529,Northern line to Hendon Central
Chalfont & Latimer,Amersham,527,530,Metropolitan line to Amersham
South Woodford,Snaresbrook,527,529,Central line to Snaresbrook
Gants Hill,Redbridge,527,528,Central line to Redbridge
South Ruislip,Northolt,527,530,Central line to Northolt
Tooting Broadway,Tooting Bec,527,529,Northern line to Tooting Bec
Woodside Park,West Finchley,527,528,Northern line to West Finchley
Loughton,Debden,527,529,Central line to Debden
Willesden Green,Kilburn,528,529,Jubilee line to Kilburn
Stockwell,Vauxhall,528,530,Victoria line to Vauxhall
Tottenham Hale,Blackhorse Road,528,529,Victoria line to Blackhorse Road
Moorgate,Barbican,528,529,Hammersmith & City line to Barbican
Stockwell,Vauxhall,528,530,Victoria line to Vauxhall
Westminster,Waterloo,528,529,Jubilee line to Waterloo
Fairlop,Barkingside,528,529,Central line to Barkingside
Stratford,West Ham,528,530,Jubilee line to West Ham
North Ealing,Ealing Common,528,530,Piccadilly line to Ealing Common
Boston Manor,Northfields,528,531,Piccadilly line to Northfields
East Acton,North Acton,528,530,Central line to North Acton
Chigwell,Roding Valley,528,531,Central line to Roding Valley
Hillingdon,Ickenham,528,530,Metropolitan line to Ickenham
Balham,Clapham South,528,530,Northern line to Clapham South
Theydon Bois,Epping,528,530,Central line to Epping
King's Cross St. Pancras,Euston,529,530,Victoria line to Euston
Colliers Wood,Tooting Broadway,529,531,Northern line to Tooting Broadway
Finsbury Park,Highbury & Islington,529,531,Victoria line to Highbury & Islington
Eastcote,Rayners Lane,529,532,Piccadilly line to Rayners Lane
Manor House,Finsbury Park,529,531,Piccadilly line to Finsbury Park
Chalfont & Latimer,Chorleywood,529,532,Metropolitan line to Chorleywood
Redbridge,Wanstead,529,531,Central line to Wanstead
North Greenwich,Canning Town,529,531,Jubilee line to Canning Town
Debden,Theydon Bois,529,532,Central line to Theydon Bois
Ealing Broadway,West Acton,529,531,Central line to West Acton
Latimer Road,Wood Lane,529,530,Hammersmith & City line to Wood Lane
West Ham,Bromley-by-Bow,529,531,Hammersmith & City line to Bromley-by-Bow
Canning Town,North Greenwich,529,531,Jubilee line to North Greenwich
Bermondsey,London Bridge,529,531,Jubilee line to London Bridge
Canary Wharf,Canada Water,529,531,Jubilee line to Canada Water
Morden,South Wimbledon,529,531,Northern line to South Wimbledon
Tooting Bec,Balham,529,530,Northern line to Balham
West Finchley,Finchley Central,529,531,Northern line to Finchley Central
Clapham Common,Clapham North,529,530,Northern line to Clapham North
Cockfosters,Oakwood,530,532,Piccadilly line to Oakwood
Rickmansworth,Chorleywood,530,533,Metropolitan line to Chorleywood
Hendon Central,Brent Cross,530,532,Northern line to Brent Cross
Ickenham,Ruislip,530,532,Metropolitan line to Ruislip
Ealing Common,Acton Town,530,534,Piccadilly line to Acton Town
Clapham North,Stockwell,530,531,Northern line to Stockwell
Harrow-on-the-Hill,Northwick Park,530,532,Metropolitan line to Northwick Park
North Acton,West Acton,530,532,Central line to West Acton
Arnos Grove,Bounds Green,530,532,Piccadilly line to Bounds Green
Hatton Cross,Hounslow West,530,533,Piccadilly line to Hounslow West
Vauxhall,Pimlico,530,531,Victoria line to Pimlico
Vauxhall,Pimlico,530,531,Victoria line to Pimlico
Blackhorse Road,Walthamstow Central,530,531,Victoria line to Walthamstow Central
Barkingside,Newbury Park,530,532,Central line to Newbury Park
Northolt,Greenford,530,532,Central line to Greenford
West Ham,Canning Town,530,532,Jubilee line to Canning Town
Waterloo,Southwark,530,531,Jubilee line to Southwark
Kingsbury,Wembley Park,530,534,Jubilee line to Wembley Park
